ref,title,author,lastRunTime,totalVotes
danielhanchen/gemma-3n-4b-multimodal-finetuning-inference,Gemma 3N 4B Multimodal finetuning + inference,Unsloth AI,2025-07-30 10:36:13.977000,775
jefersonpazze/how-to-use-google-gemma,How to use Google Gemma,Jeferson Souza Pazze,2024-02-22 12:50:24.823000,254
gpreda/gemma-4-e2b-multilangual-and-multimodal,Gemma 4:E2B  Multilangual and Multimodal,Gabriel Preda,2026-04-04 14:26:51.963000,18
danielhanchen/gemma4-31b-unsloth,Gemma4-31B-Unsloth,Unsloth AI,2026-04-09 14:46:15,295
gpreda/explore-gemma-3-4b-multimodal-features,Explore Gemma 3:4B Multimodal Features,Gabriel Preda,2025-03-20 17:40:50,125
lucamassaron/data-science-ai-assistant-with-gemma-2b-it,Data Science AI Assistant with Gemma 2b-it,Luca Massaron,2024-03-21 10:09:49.907000,298
suvroo/gemma-4-multimodal-relief-assistant-for-crisis,Gemma 4 Multimodal Relief Assistant for Crisis,Suvradeep,2026-04-25 09:20:31.727000,15
haibinl/gemma-3-4b-1b,Gemma 3 4B 多模态特征和 1B 文本特征,Haibin Lin,2025-03-19 10:36:24.843000,36
lucamassaron/fine-tune-gemma-3-1b-it-for-sentiment-analysis,Fine-tune Gemma 3 1B it for Sentiment Analysis,Luca Massaron,2025-03-24 22:09:55.113000,85
abhinavdogra002/ecovision-ai-democratizing-environmental,🌱EcoVision AI: Democratizing Environmental,Abhinav Dogra,2025-06-27 06:16:18.793000,57
danielhanchen/gemma-3n-4b-vision-finetuning,Gemma 3N 4B Vision Finetuning,Unsloth AI,2025-07-30 11:00:09.247000,42
gpreda/testing-gemma-3n-like-a-pro,Testing Gemma 3n like a pro ,Gabriel Preda,2025-07-03 18:25:43,62
gpreda/test-gemma-4-e2b-on-cpu,Test Gemma 4:E2B on CPU,Gabriel Preda,2026-04-11 11:34:35.597000,47
jefersonpazze/gemma-guide-llm-prompt-recovery,Gemma-Guide: LLM Prompt Recovery,Jeferson Souza Pazze,2024-02-28 11:54:24.507000,64
danielhanchen/gemma-3n-4b-audio-finetuning,Gemma 3N 4B Audio finetuning,Unsloth AI,2025-07-30 11:09:58.207000,42
chaitanya99/customize-llm-step-by-step-lora-training,⚗️ Customize LLM: Step-by-Step LoRA Training,Chaitanya,2025-08-17 04:50:35.013000,61
alexandrelemercier/repaired-explore-gemma-3-4b-multimodal-features,[Repaired] Explore Gemma 3:4B Multimodal Features,Alexandre Le Mercier,2025-04-20 10:21:06.503000,24
nghihuynh/unleashing-gemma-s-power-by-prompt-engineering,Unleashing Gemma's Power by Prompt Engineering,Nghi Huynh,2024-04-14 13:00:54.787000,73
adilshamim8/gemma-3n-impact-challenge,Gemma 3n Impact Challenge,Adil Shamim,2025-07-06 06:10:30,45
imladrisalahasta/pr-ctica-chatbots-2026,Práctica chatbots 2026,Cham,2026-04-13 17:21:16,33
